	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
538	Rubén Ramos	us USA	FW	LA Galaxy	19-135	2007	3	1	98	1.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
539	Ryan Raposo	ca CAN	DF,MF	LAFC	27-093	1999	7	3	323	3.6	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
540	Tim Ream	us USA	DF	Charlotte	38-244	1987	11	11	945	10.5	0	1	1	0	0	0	0	0	0.00	0.10	0.10	0.00	0.10	Matches
541	Sergio Reguilón	es ESP	DF	Inter Miami	29-172	1996	6	5	356	4.0	1	0	1	1	0	0	1	0	0.25	0.00	0.25	0.25	0.25	Matches
542	Jayden Reid	us USA	DF	Sporting KC	24-280	2001	10	10	890	9.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
543	Seymour Reid	jm JAM	FW	NYCFC	18-094	2008	10	0	84	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
544	Tahir Reid-Brown	us USA	DF	Orlando City	19-339	2006	7	2	225	2.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
545	William Reilly	us USA	MF	Atlanta Utd	23-185	2002	4	3	216	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
546	Agustín Resch	ar ARG	DF	Houston Dynamo	24-098	2002	13	8	776	8.6	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
547	Marco Reus	de GER	MF,FW	LA Galaxy	37-006	1989	15	12	1,018	11.3	4	5	9	3	1	1	0	0	0.35	0.44	0.80	0.27	0.71	Matches
548	Justin Reynolds	us USA	DF,MF	Sporting KC	21-306	2004	8	4	317	3.5	0	1	1	0	0	0	0	0	0.00	0.28	0.28	0.00	0.28	Matches
549	Bernardo Rhein	br BRA	FW	Orlando City	18-258	2007	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
550	Andrew Rick	us USA	GK	Philadelphia Union	20-127	2006	1	1	90	1.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
551	Jamar Ricketts	us USA	MF,DF	SJ Earthquakes	24-225	2001	13	11	863	9.6	0	2	2	0	0	0	1	0	0.00	0.21	0.21	0.00	0.21	Matches
552	Kalani Rienzi	us USA	DF	Seattle Sounders	23-344	2002	11	8	816	9.1	1	0	1	1	0	0	0	0	0.11	0.00	0.11	0.11	0.11	Matches
553	Chris Rindov	us USA	DF	LA Galaxy	24-241	2001	1	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
554	Rocco Ríos Novo	ar ARG	GK	Inter Miami	24-002	2002	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
555	Reid Roberts	us USA	DF	SJ Earthquakes	22-179	2003	14	14	1,260	14.0	1	0	1	1	0	0	4	0	0.07	0.00	0.07	0.07	0.07	Matches
556	Miles Robinson	us USA	DF	FC Cincinnati	29-084	1997	9	8	603	6.7	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	Matches
557	Stian Rode Gregersen	no NOR	DF	Atlanta Utd	31-020	1995	9	8	724	8.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
558	James Rodríguez	co COL	MF,FW	Minnesota Utd	34-329	1991	6	2	195	2.2	0	2	2	0	0	0	0	0	0.00	0.92	0.92	0.00	0.92	Matches
559	Sam Rogers	us USA	DF	Chicago Fire	27-020	1999	1	1	75	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
560	Andy Rojas	cr CRC	FW	RB New York	20-183	2005	2	0	49	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
561	Alex Roldan	sv SLV	DF	Seattle Sounders	29-313	1996	11	9	739	8.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
562	Cristian Roldan	us USA	MF	Seattle Sounders	31-003	1995	12	10	956	10.6	3	1	4	3	0	0	1	0	0.28	0.09	0.38	0.28	0.38	Matches
563	Nicolás Romero	ar ARG	DF	Minnesota Utd	22-190	2003	9	8	638	7.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
564	David Romney	us USA	DF	SJ Earthquakes	32-359	1993	9	4	423	4.7	1	0	1	1	0	0	0	0	0.21	0.00	0.21	0.21	0.21	Matches
565	Connor Ronan	ie IRL	MF	Colorado Rapids	28-092	1998	6	2	199	2.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
566	Joseph Rosales	hn HON	MF	Austin FC	25-212	2000	15	15	1,274	14.2	1	1	2	1	0	0	2	0	0.07	0.07	0.14	0.07	0.14	Matches
567	Tanner Rosborough	us USA	FW	RB New York	18-077	2008	5	0	65	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
568	Keegan Rosenberry	us USA	DF	Colorado Rapids	32-177	1993	11	2	418	4.6	1	0	1	1	0	0	0	0	0.22	0.00	0.22	0.22	0.22	Matches
569	Diego Rossi	uy URU	FW,MF	Columbus Crew	28-093	1998	15	14	1,259	14.0	6	1	7	5	1	1	0	0	0.43	0.07	0.50	0.36	0.43	Matches
570	Paul Rothrock	us USA	MF	Seattle Sounders	27-148	1999	12	9	910	10.1	4	1	5	4	0	0	1	0	0.40	0.10	0.49	0.40	0.49	Matches
571	Kye Rowles	au AUS	DF	D.C. United	27-347	1998	14	14	1,260	14.0	1	0	1	1	0	0	1	0	0.07	0.00	0.07	0.07	0.07	Matches
572	David Ruíz	hn HON	MF	Inter Miami	22-118	2004	4	2	152	1.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
573	Pablo Ruíz	ar ARG	MF	Real Salt Lake	27-168	1998	4	0	56	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
