Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
45,Aaron Bibout,cm CMR,FW,Genk,20,2004,12.3,6,47,17,36.2,3.82,1.38,0.13,0.35,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
46,Glenn Bijl,nl NED,"DF,MF",Antwerp,30,1995,7.1,0,1,0,0.0,0.14,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
47,Mateo Biondic,hr CRO,"FW,MF",Union SG,22,2003,8.4,4,27,15,55.6,3.21,1.79,0.15,0.27,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
48,Lewin Blum,ch SUI,DF,Charleroi,24,2001,19.8,0,8,2,25.0,0.4,0.1,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
49,Bouke Boersma,nl NED,FW,Mechelen,20,2005,14.7,3,23,11,47.8,1.57,0.75,0.13,0.27,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
50,Naoufal Bohamdi-Kamoni,be BEL,FW,Westerlo,17,2007,1.3,0,1,0,0.0,0.78,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
51,Boli Bolingoli-Mbombo,be BEL,DF,Standard Liège,30,1995,1.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
52,Sofiane Boufal,ma MAR,"FW,MF",Union SG,31,1993,2.0,0,8,2,25.0,4.04,1.01,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
53,Amine Boukamir,ma MAR,MF,Charleroi,18,2006,5.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
54,Mehdi Boukamir,ma MAR,DF,Charleroi,21,2004,3.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
55,Rosen Bozhinov,bg BUL,DF,Antwerp,20,2005,14.2,1,7,3,42.9,0.49,0.21,0.14,0.33,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
