	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
75	Yassine Benzia	dz ALG	MF	Al-Fayha	30	1994	32	32	2,724	30.3	4	5	9	4	0	0	2	0	0.13	0.17	0.30	0.13	0.30	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Steven Bergwijn	nl NED	MF	Al-Ittihad	27	1997	21	21	1,778	19.8	5	2	7	5	0	0	5	0	0.25	0.10	0.35	0.25	0.35	Matches
77	Adam Berry	eng ENG	MF	Al Kholood Saudi Club	19	2006	5	0	69	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
78	Mansor Al Beshe	sa KSA	MF,FW	Al-Fayha	25	2000	21	8	703	7.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
79	Biel	br BRA	FW,MF	Al-Taawoun	24	2001	15	11	912	10.1	1	0	1	1	0	0	0	0	0.10	0.00	0.10	0.10	0.10	Matches
80	Fahad bin Jumayah	sa KSA	DF,MF	Al-Taawoun	30	1995	1	0	28	0.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
81	Saud bin Zaydan	sa KSA	MF	Al-Riyadh SC	25	1999	3	0	56	0.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
82	Abdulaziz Al-Bishi	sa KSA	MF	Al-Ittihad	31	1994	22	1	315	3.5	1	0	1	1	0	0	1	0	0.29	0.00	0.29	0.29	0.29	Matches
83	Nasser Al Bishi	sa KSA	MF	Al-Riyadh SC	23	2002	6	2	196	2.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
84	Nasser Al Bishi		DF	Al-Shabab			1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
85	Ameen Bokhari	sa KSA	GK	Al-Fateh	28	1997	5	3	346	3.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
86	Christopher Bonsu-Baah	gh GHA	MF	Al-Qadsiah	20	2004	32	32	2,666	29.6	3	12	15	3	0	0	5	0	0.10	0.41	0.51	0.10	0.51	Matches
87	Milan Borjan	ca CAN	GK	Al-Riyadh SC	37	1987	34	34	3,060	34.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
88	Mateo Borrell		MF	Al Okhdood SC			17	12	1,091	12.1	0	1	1	0	0	0	4	0	0.00	0.08	0.08	0.00	0.08	Matches
89	Saïmon Bouabré	fr FRA	MF,FW	Neom	19	2006	15	13	1,155	12.8	1	2	3	1	0	0	1	0	0.08	0.16	0.23	0.08	0.23	Matches
90	Saïmon Bouabré	fr FRA	FW	Al-Hilal	19	2006	7	1	149	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
91	Yassine Bounou	ma MAR	GK	Al-Hilal	34	1991	26	26	2,340	26.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
