	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
501	Mohammed Suhluli	sa KSA	MF,FW	Al-Riyadh SC	20	2004	5.4	0	2	2	100.0	0.37	0.37	0.00	0.00	0	0	Matches
502	Mohammed Sulaiman	sa KSA	DF	Al-Ahli	21	2004	9.5	0	4	2	50.0	0.42	0.21	0.00	0.00	0	0	Matches
503	Hussain Al Sultan		MF	Al-Khaleej			1.7	1	4	1	25.0	2.29	0.57	0.25	1.00	0	0	Matches
504	Khaled Al-Sumairi	sa KSA	MF	Damac	28	1997	4.1	0	3	1	33.3	0.73	0.24	0.00	0.00	0	0	Matches
505	Abdulaziz Al Suwailm		DF	Al-Fateh			13.1	0	3	1	33.3	0.23	0.08	0.00	0.00	0	0	Matches
506	Mamadou Sylla	sn SEN	FW	Al-Riyadh SC	31	1994	22.8	10	61	29	47.5	2.67	1.27	0.16	0.34	0	1	Matches
507	Morlaye Sylla	gn GUI	MF	Damac	27	1998	31.7	2	37	9	24.3	1.17	0.28	0.03	0.11	1	1	Matches
508	Hassan Al Tambakti	sa KSA	DF	Al-Hilal	26	1999	26.0	1	8	3	37.5	0.31	0.12	0.13	0.33	0	0	Matches
509	Marzouq Tambakti	sa KSA	DF	Al-Riyadh SC	22	2003	12.5	0	5	2	40.0	0.40	0.16	0.00	0.00	0	0	Matches
510	Sultan Tanker	sa KSA	DF	Al-Hazem	26	1998	26.6	0	6	1	16.7	0.23	0.04	0.00	0.00	0	0	Matches
511	Mohammed Al-Thain	sa KSA	DF	Al-Shabab	28	1997	17.7	0	5	2	40.0	0.28	0.11	0.00	0.00	0	0	Matches
512	Mohammed Al-Thain	sa KSA	DF,MF	Al-Qadsiah	28	1997	0.8	0	1	0	0.0	1.20	0.00	0.00		0	0	Matches
513	Jehad Thakri	sa KSA	DF	Al-Qadsiah	24	2001	16.8	0	8	0	0.0	0.47	0.00	0.00		0	0	Matches
514	David Tijanić	si SVN	MF	Al-Najma	28	1997	20.3	2	22	5	22.7	1.08	0.25	0.09	0.40	0	0	Matches
515	Karl Toko Ekambi	cm CMR	FW,MF	Al-Fateh	32	1992	5.0	0	18	8	44.4	3.59	1.60	0.00	0.00	0	0	Matches
516	Ivan Toney	eng ENG	FW	Al-Ahli	29	1996	30.5	32	92	48	52.2	3.02	1.57	0.24	0.46	10	11	Matches
