	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
85	Frank Boya	cm CMR	MF	Tijuana	29	1996	21	16	1,284	14.3	6	0	6	6	0	0	4	0	0.42	0.00	0.42	0.42	0.42	Matches
86	Antonio Briseño	mx MEX	DF	Toluca	31	1994	15	10	881	9.8	2	1	3	2	0	0	2	1	0.20	0.10	0.31	0.20	0.31	Matches
87	Isaác Brizuela	mx MEX	DF,FW	Guadalajara	34	1990	1	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
88	Juan Brunetta	ar ARG	MF	UANL	28	1997	34	27	2,500	27.8	15	7	22	13	2	2	6	0	0.54	0.25	0.79	0.47	0.72	Matches
89	Ezequiel Bullaude	ar ARG	MF,FW	Santos Laguna	24	2000	16	15	1,168	13.0	5	4	9	5	0	0	2	0	0.39	0.31	0.69	0.39	0.69	Matches
90	Ezequiel Bullaude	ar ARG	FW,MF	Tijuana	24	2000	6	0	94	1.0	1	0	1	1	0	0	1	0	0.96	0.00	0.96	0.96	0.96	Matches
91	Alvaro Burgos		DF	Puebla			5	5	450	5.0	1	0	1	1	0	0	2	0	0.20	0.00	0.20	0.20	0.20	Matches
92	César Bustos	mx MEX	DF	Monterrey	19	2005	2	0	60	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
93	Sebastián Cáceres	uy URU	DF	América	25	1999	25	24	2,132	23.7	0	0	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
94	Jhonder Cádiz	ve VEN	FW	Pachuca	30	1995	18	8	738	8.2	2	3	5	2	0	0	3	0	0.24	0.37	0.61	0.24	0.61	Matches
95	José Caicedo	co COL	MF	UNAM	23	2002	17	14	1,191	13.2	0	0	0	0	0	0	7	1	0.00	0.00	0.00	0.00	0.00	Matches
96	Cristian Calderón	mx MEX	DF,MF	Necaxa	28	1997	28	23	1,897	21.1	1	1	2	1	0	0	7	0	0.05	0.05	0.09	0.05	0.09	Matches
97	Hugo Camberos	mx MEX	FW	Guadalajara	19	2006	15	0	319	3.5	2	0	2	2	0	0	1	0	0.56	0.00	0.56	0.56	0.56	Matches
98	Diber Cambindo	co COL	FW	Necaxa	29	1996	14	13	1,070	11.9	6	2	8	6	0	0	5	1	0.50	0.17	0.67	0.50	0.67	Matches
99	Diber Cambindo	co COL	FW	León	29	1996	17	14	1,245	13.8	8	2	10	6	2	2	2	0	0.58	0.14	0.72	0.43	0.58	Matches
100	Diego Campillo	mx MEX	DF,MF	Guadalajara	23	2001	30	25	2,252	25.0	1	2	3	1	0	0	5	0	0.04	0.08	0.12	0.04	0.12	Matches
