Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
72,Mamadou Billo Diop,sn SEN,FW,Colorado Rapids,,2006.0,0.2,0,1,0,0.0,4.74,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
73,Ran Binyamin,il ISR,"MF,DF",FC Dallas,,2004.0,5.0,0,4,1,25.0,0.8,0.2,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
74,Guilherme Biro,br BRA,DF,Austin FC,,2000.0,9.5,1,10,2,20.0,1.05,0.21,0.1,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
75,Tristan Blackmon,us USA,DF,Vancouver W'caps,,1996.0,13.0,1,9,3,33.3,0.69,0.23,0.11,0.33,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
76,Andre Blake,jm JAM,GK,Philadelphia Union,,1990.0,14.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
77,Isaac Boehmer,us USA,GK,Vancouver W'caps,,2001.0,1.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
78,Mateusz Bogusz,pl POL,"MF,FW",Houston Dynamo,,2001.0,13.1,2,42,16,38.1,3.2,1.22,0.05,0.13,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
79,Luca Bombino,us USA,DF,San Diego FC,,2006.0,10.3,1,7,2,28.6,0.68,0.19,0.14,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
80,Jonathan Bond,eng ENG,GK,Houston Dynamo,,1993.0,13.5,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
81,Alex Bonetig,au AUS,DF,Portland Timbers,,2002.0,7.2,1,1,1,100.0,0.14,0.14,1.0,1.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
82,Zach Booth,us USA,"FW,MF",Real Salt Lake,,2004.0,3.5,1,3,1,33.3,0.85,0.28,0.33,1.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
83,Diego Borges,br BRA,DF,Sporting KC,,2004.0,2.3,0,1,0,0.0,0.44,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
84,Dylan Borso,us USA,MF,Chicago Fire,,2006.0,0.9,0,3,1,33.3,3.46,1.15,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
85,Antone Bossenberry,ca CAN,MF,Toronto FC,,2008.0,0.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
86,Denis Bouanga,ga GAB,"FW,MF",LAFC,,1994.0,13.3,6,46,20,43.5,3.46,1.51,0.13,0.3,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
87,Ousseni Bouda,bf BFA,MF,SJ Earthquakes,,2000.0,13.1,5,22,11,50.0,1.68,0.84,0.23,0.45,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
88,Amin Boudri,se SWE,MF,LAFC,,2004.0,0.9,0,4,2,50.0,4.62,2.31,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
89,Agustín Bouzat,ar ARG,MF,Houston Dynamo,,1994.0,6.8,0,11,3,27.3,1.63,0.44,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
90,Michael Boxall,nz NZL,DF,Minnesota Utd,,1988.0,4.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
91,Tyler Boyd,us USA,"MF,FW",LAFC,,1994.0,5.0,1,13,6,46.2,2.61,1.21,0.08,0.17,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
92,Chris Brady,us USA,GK,Chicago Fire,,2004.0,14.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
93,David Brekalo,si SVN,DF,Orlando City,,1998.0,8.9,0,5,1,20.0,0.56,0.11,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
94,Luke Brennan,us USA,MF,Atlanta Utd,,2005.0,2.0,0,4,1,25.0,1.96,0.49,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
95,Yannick Bright,it ITA,MF,Inter Miami,,2001.0,10.6,0,4,1,25.0,0.38,0.09,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
96,Brandt Bronico,us USA,MF,Charlotte,,1995.0,5.5,0,1,0,0.0,0.18,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
97,Snyder Brunell,us USA,MF,Seattle Sounders,,2007.0,8.6,0,13,6,46.2,1.51,0.7,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
98,Charles-Emile Brunet,ca CAN,MF,Nashville SC,,2003.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
99,Pavel Bucha,cz CZE,MF,FC Cincinnati,,1998.0,13.4,2,12,4,33.3,0.89,0.3,0.17,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
100,Noel Buck,eng ENG,MF,SJ Earthquakes,,2005.0,0.7,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
101,Dawid Bugaj,pl POL,DF,CF Montréal,,2004.0,7.8,0,9,2,22.2,1.15,0.25,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
102,Roman Bürki,ch SUI,GK,St. Louis City,,1990.0,13.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
103,Micah Burton,us USA,FW,Austin FC,,2006.0,0.2,0,1,0,0.0,4.5,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
104,Brandon Bye,us USA,DF,Portland Timbers,,1995.0,13.2,0,9,1,11.1,0.68,0.08,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
105,Nathan Byrne,eng ENG,DF,Charlotte,,1992.0,13.8,0,3,0,0.0,0.22,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
106,Rafael Cabral,br BRA,GK,Real Salt Lake,,1990.0,14.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
107,Kenji Cabrera,pe PER,MF,Vancouver W'caps,,2003.0,3.5,0,2,0,0.0,0.57,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
108,Bruno Caicedo,ec ECU,MF,Vancouver W'caps,,2005.0,3.4,2,25,8,32.0,7.4,2.37,0.08,0.25,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
109,José Caicedo,co COL,MF,Portland Timbers,,2002.0,5.6,0,4,1,25.0,0.72,0.18,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
110,Marcus Caldeira,ca CAN,FW,Minnesota Utd,,2004.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
111,Taylor Calheira,us USA,FW,Sporting KC,,2002.0,3.0,0,8,5,62.5,2.7,1.69,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
112,Noel Caliskan,de GER,MF,Real Salt Lake,,2000.0,13.2,0,10,2,20.0,0.76,0.15,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
113,Drake Callender,us USA,GK,Minnesota Utd,,1997.0,15.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
114,Rudy Camacho,fr FRA,DF,Columbus Crew,,1991.0,14.1,0,6,4,66.7,0.43,0.28,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
115,Leonardo Campana,ec ECU,FW,NE Revolution,,2000.0,1.2,1,2,1,50.0,1.65,0.83,0.5,1.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
116,Reggie Cannon,us USA,DF,Colorado Rapids,,1998.0,3.4,0,1,1,100.0,0.29,0.29,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
117,Capita,ao ANG,"MF,FW",Sporting KC,,2002.0,5.8,1,10,4,40.0,1.72,0.69,0.1,0.25,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
118,Christian Cappis,us USA,MF,FC Dallas,,1999.0,9.3,0,7,0,0.0,0.75,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
119,Antonio Carlos,br BRA,DF,Houston Dynamo,,1993.0,11.5,0,6,1,16.7,0.52,0.09,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
120,Wikelman Carmona,ve VEN,"MF,FW",CF Montréal,,2003.0,8.8,4,21,8,38.1,2.39,0.91,0.19,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
121,Maxi Carrizo,us USA,MF,NYCFC,,2008.0,0.4,0,1,0,0.0,2.65,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
122,Wilder Cartagena,pe PER,MF,Orlando City,,1994.0,0.5,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
123,Cabral Carter,us USA,GK,LAFC,,2004.0,0.7,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
124,Nico Cavallo,us USA,"DF,MF",NYCFC,,2001.0,5.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
125,Brayan Ceballos,co COL,DF,NE Revolution,,2001.0,7.0,2,3,2,66.7,0.43,0.29,0.67,1.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
126,Roman Celentano,us USA,GK,FC Cincinnati,,2000.0,13.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
127,Edwin Cerrillo,us USA,MF,LA Galaxy,,2000.0,12.4,0,7,4,57.1,0.56,0.32,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
128,Dylan Chambost,fr FRA,MF,Columbus Crew,,1997.0,8.5,0,7,1,14.3,0.82,0.12,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
129,Tomás Chancalay,ar ARG,"FW,MF",Minnesota Utd,,1999.0,12.4,1,34,10,29.4,2.75,0.81,0.03,0.1,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
130,Kieran Chandler,us USA,DF,Minnesota Utd,,2005.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
131,Diego Chará,co COL,MF,Portland Timbers,,1986.0,6.1,0,1,0,0.0,0.17,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
132,Gabriel Chaves,br BRA,"MF,FW",LA Galaxy,,2001.0,13.5,5,59,29,49.2,4.38,2.16,0.08,0.17,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
133,Justin Che,us USA,DF,RB New York,,2003.0,6.2,0,3,2,66.7,0.49,0.32,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
134,Yevhen Cheberko,ua UKR,"DF,MF",Columbus Crew,,1998.0,0.9,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
135,Andrei Chirilă,us USA,DF,FC Cincinnati,,2008.0,4.7,1,3,2,66.7,0.64,0.43,0.33,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
136,Micah Chisholm,ca CAN,DF,Toronto FC,,2004.0,0.7,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
137,Mathieu Choinière,ca CAN,MF,LAFC,,1999.0,8.4,2,10,3,30.0,1.2,0.36,0.2,0.67,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
138,José Cifuentes,ec ECU,MF,Toronto FC,,1999.0,8.8,1,11,3,27.3,1.25,0.34,0.09,0.33,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
139,Markus Cimermancic,ca CAN,MF,Toronto FC,,2004.0,1.5,0,1,0,0.0,0.65,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
140,Caden Clark,us USA,MF,D.C. United,,2003.0,1.0,0,1,0,0.0,1.01,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
141,Will Cleary,us USA,DF,Charlotte,,2003.0,1.2,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
142,Stefan Cleveland,us USA,GK,Sporting KC,,1994.0,5.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
143,Noah Cobb,us USA,DF,Colorado Rapids,,2005.0,3.3,0,1,0,0.0,0.31,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
144,Alonso Coello,es ESP,MF,Toronto FC,,1999.0,11.4,0,6,2,33.3,0.53,0.18,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
