Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
74,Guilherme Biro,br BRA,DF,Austin FC,,2000.0,12,11,854,9.5,1,1,2,1,0,0,3,1,0.11,0.11,0.21,0.11,0.21,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
75,Tristan Blackmon,us USA,DF,Vancouver W'caps,,1996.0,13,13,1170,13.0,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
76,Andre Blake,jm JAM,GK,Philadelphia Union,,1990.0,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
77,Isaac Boehmer,us USA,GK,Vancouver W'caps,,2001.0,2,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
78,Mateusz Bogusz,pl POL,"MF,FW",Houston Dynamo,,2001.0,14,13,1183,13.1,2,1,3,2,0,0,2,0,0.15,0.08,0.23,0.15,0.23,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
79,Luca Bombino,us USA,DF,San Diego FC,,2006.0,12,11,931,10.3,1,1,2,1,0,0,5,1,0.1,0.1,0.19,0.1,0.19,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
80,Jonathan Bond,eng ENG,GK,Houston Dynamo,,1993.0,14,14,1215,13.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
81,Alex Bonetig,au AUS,DF,Portland Timbers,,2002.0,8,7,648,7.2,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
82,Zach Booth,us USA,"FW,MF",Real Salt Lake,,2004.0,8,4,318,3.5,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
83,Diego Borges,br BRA,DF,Sporting KC,,2004.0,3,2,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
