Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
73,Karim Benzema,fr FRA,FW,Al-Ittihad,37.0,1987.0,13.2,8,46,26,56.5,3.48,1.97,0.13,0.23,2,3,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
74,Karim Benzema,fr FRA,FW,Al-Hilal,37.0,1987.0,7.9,9,22,16,72.7,2.78,2.03,0.41,0.56,0,1,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
75,Yassine Benzia,dz ALG,MF,Al-Fayha,30.0,1994.0,30.3,4,39,16,41.0,1.29,0.53,0.1,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
76,Steven Bergwijn,nl NED,MF,Al-Ittihad,27.0,1997.0,19.8,5,39,15,38.5,1.97,0.76,0.13,0.33,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
77,Adam Berry,eng ENG,MF,Al Kholood Saudi Club,19.0,2006.0,0.8,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
78,Mansor Al Beshe,sa KSA,"MF,FW",Al-Fayha,25.0,2000.0,7.8,0,4,1,25.0,0.51,0.13,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
79,Biel,br BRA,"FW,MF",Al-Taawoun,24.0,2001.0,10.1,1,13,4,30.8,1.28,0.39,0.08,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
80,Fahad bin Jumayah,sa KSA,"DF,MF",Al-Taawoun,30.0,1995.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
81,Saud bin Zaydan,sa KSA,MF,Al-Riyadh SC,25.0,1999.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
82,Abdulaziz Al-Bishi,sa KSA,MF,Al-Ittihad,31.0,1994.0,3.5,1,9,4,44.4,2.57,1.14,0.11,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
