Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
398,Mohammed Al Qahtani,sa KSA,FW,Al-Hilal,23.0,2002.0,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
399,Mohammed Al Qahtani,,DF,Al Okhdood SC,,,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
400,Muhannad Al Qaidhi,sa KSA,DF,Al Okhdood SC,27.0,1998.0,18,7,802,8.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
401,Hussain Qassem,sa KSA,MF,Al-Fateh,27.0,1997.0,7,4,285,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
402,Julián Quiñones,mx MEX,FW,Al-Qadsiah,28.0,1997.0,31,31,2717,30.2,33,4,37,31,2,2,4,0,1.09,0.13,1.23,1.03,1.16,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
403,Romell Quioto,hn HON,FW,Al-Najma,33.0,1991.0,9,7,565,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
404,Hassan Rabea,sa KSA,DF,Damac,22.0,2003.0,17,11,880,9.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
405,Abdullah Radif,sa KSA,FW,Al-Hilal,22.0,2003.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
406,Abdullah Radif,sa KSA,FW,Al-Fayha,22.0,2003.0,8,5,430,4.8,0,2,2,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
407,Saif Rajab,sa KSA,FW,Al-Taawoun,20.0,2004.0,7,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
408,Saif Rajab,sa KSA,FW,Al-Qadsiah,20.0,2004.0,3,0,49,0.5,0,1,1,0,0,0,0,0,0.0,1.84,1.84,0.0,1.84,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
409,Mobarak Al Rajeh,sa KSA,DF,Al-Shabab,21.0,2003.0,9,8,724,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
410,Predrag Rajković,rs SRB,GK,Al-Ittihad,29.0,1995.0,30,30,2661,29.6,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
411,Luca Ramirez,,FW,Al-Riyadh SC,,,4,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
412,Khaled Al Rammah,sa KSA,DF,Al-Fayha,20.0,2005.0,9,2,278,3.1,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
413,Jefferson Ramos,,FW,Al-Fateh,20.0,2005.0,6,1,127,1.4,1,0,1,1,0,0,1,0,0.71,0.0,0.71,0.71,0.71,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
414,Saud Al Rashed,sa KSA,DF,Al-Hazem,27.0,1998.0,23,19,1644,18.3,0,4,4,0,0,0,11,1,0.0,0.22,0.22,0.0,0.22,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
415,Fahad Al Rashidi,sa KSA,"FW,MF",Al-Ahli,28.0,1997.0,3,0,12,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
416,Fahad Al Rashidi,sa KSA,"FW,MF",Al-Taawoun,28.0,1997.0,11,0,102,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
417,Noor Al Rashidi,sa KSA,DF,Damac,30.0,1995.0,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
418,Pedro Rebocho,pt POR,DF,Al-Khaleej,30.0,1995.0,33,33,2862,31.8,0,7,7,0,0,0,4,0,0.0,0.22,0.22,0.0,0.22,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
419,Mohamed Refaat,,FW,Al-Fateh,,,4,1,54,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
420,Mateo Retegui,it ITA,FW,Al-Qadsiah,26.0,1999.0,28,27,2337,26.0,16,1,17,12,4,4,6,0,0.62,0.04,0.65,0.46,0.50,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
421,Renne Rivas,ve VEN,DF,Al-Taawoun,22.0,2003.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
422,Marek Rodák,sk SVK,GK,Al-Ettifaq,28.0,1996.0,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
423,Gonçalo Rodrigues,pt POR,MF,Al-Najma,28.0,1997.0,14,10,991,11.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
424,Luciano Rodríguez,uy URU,"FW,MF",Neom,22.0,2003.0,30,28,2324,25.8,6,1,7,6,0,0,0,1,0.23,0.04,0.27,0.23,0.27,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
425,Cristiano Ronaldo,pt POR,FW,Al-Nassr,40.0,1985.0,30,30,2601,28.9,28,2,30,22,6,8,2,0,0.97,0.07,1.04,0.76,0.83,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
426,Loreintz Rosier,fr FRA,MF,Al-Hazem,26.0,1998.0,31,30,2673,29.7,1,1,2,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
427,Saeed Al Rubaie,sa KSA,DF,Al Okhdood SC,31.0,1994.0,19,19,1570,17.4,4,1,5,4,0,0,8,0,0.23,0.06,0.29,0.23,0.29,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
428,Sattam Al Ruqi,sa KSA,MF,Al-Fayha,23.0,2002.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
429,Muhanad Al Saad,sa KSA,MF,Neom,22.0,2003.0,8,2,281,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
